Phenotype,Pearson Correlation,p-value
全长-1,0.9996184879051084,7.51627139911506e-61
体长-2,0.9995832453664237,4.026632250016628e-60
头长-3,0.9651305205824277,1.0109053400793754e-23
吻长-4,0.9874180491131535,4.7546590735243093e-32
 眼径-5,0.8100018274339937,2.4396139525518136e-10
眼后头长-6,0.9410500097106582,1.7622809034392918e-19
体高-7,0.7258318978857672,1.1597586633336174e-07
头高-8,0.9890606760690039,3.3795512826421286e-33
腹臀鳍基距-9,0.9668829673915382,3.853300132448393e-24
尾柄高-10,0.8222619856521858,7.701073649375455e-11
尾柄长-11,0.915670761227251,1.2678426260481894e-16
背鳍基长-12,0.8892379841239089,1.7791665661604384e-14
胸鳍长-13,0.9364898919592037,6.973996983753317e-19
腹鳍长-14,0.7856139867337993,1.9238672101572566e-09
臀鳍基长-15,0.7382605126337092,5.4203292051559716e-08
尾鳍长-16,0.9734245752874107,6.231667668279801e-26
 背鳍前距-17,0.9851884924380576,1.0350539563813209e-30
背鳍后距-18,0.9863015030082586,2.368766321940097e-31
 胸背鳍距-19,0.971246741307919,2.7311457988631224e-25
胸腹鳍距-20,0.9847359289947305,1.8265102132852302e-30
腹背鳍距-21,0.9930444337810642,6.4151992847241e-37
臀鳍长-22,0.9737199522142335,5.052277649113449e-26
背鳍长-23,0.8898170098054186,1.6189379814620246e-14
