Phenotype,Pearson Correlation,p-value
全长-1,0.9990396620219508,3.0992211256901996e-53
体长-2,0.996432687255038,2.041676211586782e-42
头长-3,0.9568038984067364,5.498151537850001e-22
吻长-4,0.9826554656715383,2.033257043170888e-29
 眼径-5,0.5584602601280494,0.00018047869213766966
眼后头长-6,0.8614821996185845,9.686620443060366e-13
体高-7,0.4466472472623916,0.0038633253826480716
头高-8,0.9219689321023572,3.0679155365753434e-17
腹臀鳍基距-9,0.9213439230923934,3.550316130907806e-17
尾柄高-10,0.9702185687199478,5.276998898164105e-25
尾柄长-11,0.4753944616817102,0.0019347245467594039
背鳍基长-12,0.891248060678179,1.2792274900992643e-14
胸鳍长-13,0.9080412240776263,6.141033548999496e-16
腹鳍长-14,0.9110164301086098,3.3758065610998077e-16
臀鳍基长-15,0.8596827795978356,1.2177088168131255e-12
尾鳍长-16,0.9256802527208071,1.2560708887146018e-17
 背鳍前距-17,0.9462710800675169,3.167625564646224e-20
背鳍后距-18,0.9270020067858589,9.036889043485259e-18
 胸背鳍距-19,0.8704698928530273,2.9385742101551304e-13
胸腹鳍距-20,0.8651904078064208,5.983256880369926e-13
腹背鳍距-21,0.934368842327704,1.2777480674495915e-18
臀鳍长-22,0.8446104350663619,7.37012924496764e-12
背鳍长-23,0.8552953820805431,2.099844448572072e-12
