Phenotype,Pearson Correlation,p-value
全长-1,0.9430852924324811,9.202615035499537e-20
体长-2,0.7319002489035833,8.04145476163704e-08
头长-3,-0.1060494368364076,0.5148608085717749
吻长-4,0.06367002397856428,0.6963059136932418
 眼径-5,0.4038093088205896,0.009765891520986565
眼后头长-6,0.9608993904502054,8.585274909354759e-23
体高-7,0.9829681469597379,1.442940291968378e-29
头高-8,0.9695862817777627,7.822791046905734e-25
腹臀鳍基距-9,0.9663863374343831,5.090780279250649e-24
尾柄高-10,0.9433040906352383,8.569634797313807e-20
尾柄长-11,0.9088323468721518,5.248201631224316e-16
背鳍基长-12,0.8093045673606092,2.59845593042283e-10
胸鳍长-13,0.9548694247074861,1.2427581267940749e-21
腹鳍长-14,0.92305401715965,2.3739353054602775e-17
臀鳍基长-15,0.9638038141106862,2.0315752688521608e-23
尾鳍长-16,0.9918890913037606,1.1773587290755564e-35
 背鳍前距-17,0.6249173785246794,1.6291805740420308e-05
背鳍后距-18,0.9498253078460788,8.902370820350336e-21
 胸背鳍距-19,0.9042433970865592,1.2807029617008132e-15
胸腹鳍距-20,0.9165438598692219,1.0484740453253592e-16
腹背鳍距-21,0.9714479168234602,2.3942284378666885e-25
臀鳍长-22,0.9642519625825596,1.6096190806883836e-23
背鳍长-23,0.8311156155879661,3.166586831862137e-11
