Phenotype,Pearson Correlation,p-value
全长-1,0.9304655728405768,3.6999828688014515e-18
体长-2,0.9955095956866513,1.6050696980744618e-40
头长-3,0.9749861658914543,1.9988147553643932e-26
吻长-4,0.9481510978358615,1.6367552777202978e-20
 眼径-5,0.3519518426043206,0.025937163037280844
眼后头长-6,0.9691983157821563,9.919614465249427e-25
体高-7,0.9770836873466963,3.854533627884739e-27
头高-8,0.944109170649408,6.576848858509809e-20
腹臀鳍基距-9,0.8635047268449261,7.461201846744735e-13
尾柄高-10,0.9327461937424957,2.003373945657541e-18
尾柄长-11,0.9120984641452285,2.7015267274517977e-16
背鳍基长-12,0.7625964580341547,1.0728856171318689e-08
胸鳍长-13,0.9637479055187274,2.09101629192387e-23
腹鳍长-14,0.656243084410012,4.2745336315251715e-06
臀鳍基长-15,0.9603607111332229,1.1082092538366668e-22
尾鳍长-16,0.5720465282967121,0.00011509200715287286
 背鳍前距-17,0.9681387252390189,1.8689104419279285e-24
背鳍后距-18,0.9462101864185104,3.234809574370778e-20
 胸背鳍距-19,0.8954741452012858,6.257257192975942e-15
胸腹鳍距-20,0.07146015035787236,0.6612534967355121
腹背鳍距-21,0.9137754281110784,1.9017309661391938e-16
臀鳍长-22,0.9519389411831886,4.003103062497557e-21
背鳍长-23,0.7271743203887534,1.0704051039216066e-07
