Phenotype,R-squared
全长-1,0.9993211142451546
体长-2,0.9992527380241198
头长-3,0.9455580285975891
吻长-4,0.9753861914360049
 眼径-5,0.6128647827046791
眼后头长-6,0.9074963641299924
体高-7,0.39633318214142677
头高-8,0.8991738639779264
腹臀鳍基距-9,0.9347313040809071
尾柄高-10,0.66585386187395
尾柄长-11,0.854962425884144
背鳍基长-12,0.8265861672207921
胸鳍长-13,0.9489038715685503
腹鳍长-14,0.1180765503419382
臀鳍基长-15,0.5713567578478335
尾鳍长-16,0.9499142448932792
 背鳍前距-17,0.9792634756846414
背鳍后距-18,0.9790132956009031
 胸背鳍距-19,0.9603032776553752
胸腹鳍距-20,0.9688473915879038
腹背鳍距-21,0.9839970205427672
臀鳍长-22,0.9570400625144954
背鳍长-23,0.8511919197769086
