Phenotype,R-squared
全长-1,0.889409868802458
体长-2,0.535677974345127
头长-3,0.011246483053319212
吻长-4,0.0040538719534310985
 眼径-5,0.1630619578901622
眼后头长-6,0.9233276385675764
体高-7,0.9662263779374606
头高-8,0.9400975578116274
腹臀鳍基距-9,0.9339025531798415
尾柄高-10,0.8898226074091742
尾柄长-11,0.8259762347211429
背鳍基长-12,0.6549738827507431
胸鳍长-13,0.9117756182412056
腹鳍长-14,0.8520287185945674
臀鳍基长-15,0.9289177920943059
尾鳍长-16,0.9838439694473999
 背鳍前距-17,0.3905217299821572
背鳍后距-18,0.9021681154248984
 胸背鳍距-19,0.8176561211746411
胸腹鳍距-20,0.8400526470639715
腹背鳍距-21,0.9437110551006401
臀鳍长-22,0.9297818473443179
背鳍长-23,0.6907531664741637
