Phenotype,R-squared
全长-1,0.9980553563193398
体长-2,0.9903560539034261
头长-3,0.911271241798026
吻长-4,0.9680642491595615
 眼径-5,0.42270377435030737
眼后头长-6,0.7384586146709996
体高-7,0.3345450637218371
头高-8,0.8359995989105455
腹臀鳍基距-9,0.7978711143264129
尾柄高-10,0.16165908595514034
尾柄长-11,0.8451675182410897
背鳍基长-12,0.8321474642967259
胸鳍长-13,0.0859198838060935
腹鳍长-14,0.8480005135895561
臀鳍基长-15,0.7877216615736726
尾鳍长-16,0.8233408168731502
 背鳍前距-17,0.9219736924850988
背鳍后距-18,0.8541814004583238
 胸背鳍距-19,0.8670672009768621
胸腹鳍距-20,0.7503873861936725
腹背鳍距-21,0.6704767074287945
臀鳍长-22,0.6502089497711243
背鳍长-23,0.7682508182342815
