Phenotype,Average MAPE (%)
全长-1,0.19377251661569925
体长-2,0.45136351884429826
头长-3,1.7609368551539923
吻长-4,1.58954934204605
 眼径-5,3.980286283030195
眼后头长-6,3.4064434265834485
体高-7,3.203786356975134
头高-8,2.052378923530472
腹臀鳍基距-9,2.600361536829091
尾柄高-10,2.9642889735986833
尾柄长-11,4.4877014056058755
背鳍基长-12,3.911519634103345
胸鳍长-13,5.938444316732512
腹鳍长-14,2.119258375270746
臀鳍基长-15,5.2531248729225535
尾鳍长-16,3.025069209953629
 背鳍前距-17,1.2448854972580257
背鳍后距-18,2.306064406108447
 胸背鳍距-19,2.32244796063348
胸腹鳍距-20,2.951534406969386
腹背鳍距-21,2.2299081613256404
臀鳍长-22,3.483189056859198
背鳍长-23,2.3039547758087218
