Phenotype,Average MAPE (%)
全长-1,0.16815975519627496
体长-2,0.17237889832015402
头长-3,1.6644874878130935
吻长-4,2.837651234908944
 眼径-5,4.130401009905563
眼后头长-6,2.4292483194711743
体高-7,3.034175254422961
头高-8,1.317577091423751
腹臀鳍基距-9,1.557042640865532
尾柄高-10,5.719246909946541
尾柄长-11,3.538040218486755
背鳍基长-12,4.529587167791309
胸鳍长-13,6.312206296364818
腹鳍长-14,15.225676710034469
臀鳍基长-15,6.597224375134293
尾鳍长-16,1.4186258888104313
 背鳍前距-17,1.085943178433586
背鳍后距-18,0.932340853090507
 胸背鳍距-19,1.738238744910424
胸腹鳍距-20,1.4998001298964205
腹背鳍距-21,1.2115389754029242
臀鳍长-22,1.636234603379768
背鳍长-23,2.471213349225207
