Phenotype,Average MAPE (%)
全长-1,3.6508364574248615
体长-2,2.4164068440703437
头长-3,5.1566115234173555
吻长-4,24.109522033861232
 眼径-5,7.221935585366202
眼后头长-6,1.8350537634098276
体高-7,1.0382580376920687
头高-8,1.201485511722622
腹臀鳍基距-9,1.720982927939931
尾柄高-10,2.153193314932719
尾柄长-11,3.7418716079891774
背鳍基长-12,7.475032889400668
胸鳍长-13,1.8221790628824348
腹鳍长-14,2.510888126218228
臀鳍基长-15,1.7101527899237126
尾鳍长-16,8.794301201538541
 背鳍前距-17,3.2030676623569567
背鳍后距-18,1.9656857779918275
 胸背鳍距-19,2.5611909596350806
胸腹鳍距-20,2.4951636060558258
腹背鳍距-21,1.359927668677369
臀鳍长-22,1.162365484997339
背鳍长-23,5.266112292336447
